,Price,year
台北,7.90 ,1
宜蘭,7.60 ,1
基隆,7.90 ,1
桃園,8.00 ,1
新竹,7.60 ,1
苗栗,7.40 ,1
葫蘆墩,6.30 ,1
台中,5.90 ,1
沙鹿,6.20 ,1
彰化,6.30 ,1
鹿港,6.60 ,1
員林,6.10 ,1
北斗,6.90 ,1
草鞋墩,6.30 ,1
嘉義,6.00 ,1
斗六,6.70 ,1
台南,6.60 ,1
打狗,6.00 ,1
阿緱,5.80 ,1
東港,5.90 ,1
恆春,6.90 ,1
台北,7.39 ,2.00 
宜蘭,6.83 ,2.00 
基隆,6.97 ,2.00 
桃園,6.97 ,2.00 
新竹,6.83 ,2.00 
苗栗,6.83 ,2.00 
葫蘆墩,6.77 ,2.00 
台中,6.77 ,2.00 
沙鹿,6.63 ,2.00 
彰化,6.63 ,2.00 
鹿港,6.35 ,2.00 
員林,6.70 ,2.00 
北斗,6.56 ,2.00 
草鞋墩,6.42 ,2.00 
嘉義,6.77 ,2.00 
斗六,6.70 ,2.00 
台南,6.83 ,2.00 
打狗,6.77 ,2.00 
阿緱,6.56 ,2.00 
東港,6.42 ,2.00 
恆春,6.21 ,2.00 